Company,year,Ticker,Currency,Units,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Aritzia,2024,TSX:ATZ,CAD,thousands,2024-03-03,"2,332,350.0","-1,433,369.0","-740,567.0","159,208.0","78,780.0","340,145.0","566,220.0","1,946,133.0","403,432.0","807,495.0","1,946,133.0"
Asos,2015,LSE:ASC,GBP,thousands,2015-08-31,"1,143,000.0","-569,900.0","-298,200.0","52,400.0","36,800.0","193,800.0","337,100.0","477,900.0","237,300.0","237,300.0","477,900.0"
Asos,2016,LSE:ASC,GBP,thousands,2016-08-31,"1,444,900.0","-722,700.0","-366,600.0","42,100.0","24,400.0","257,700.0","446,000.0","650,000.0","428,600.0","200,400.0","650,000.0"
Asos,2017,LSE:ASC,GBP,thousands,2017-08-31,"1,923,600.0","-965,300.0","-492,700.0","79,600.0","64,100.0","323,300.0","514,500.0","840,400.0","544,200.0","287,100.0","840,400.0"
Asos,2018,LSE:ASC,GBP,thousands,2018-08-31,"2,417,300.0","-1,180,200.0","-647,700.0","101,900.0","82,400.0","407,600.0","503,600.0","1,007,000.0","558,000.0","438,800.0","1,007,000.0"
Asos,2019,LSE:ASC,GBP,thousands,2019-08-31,"2,733,500.0","-1,399,200.0","-761,800.0","35,100.0","24,600.0","536,800.0","623,200.0","1,245,500.0","772,200.0","453,600.0","1,245,500.0"
Asos,2020,LSE:ASC,GBP,thousands,2020-08-31,"3,263,500.0","-1,716,100.0","-832,300.0","151,100.0","113,300.0","532,400.0","1,019,800.0","1,989,400.0","817,800.0","810,300.0","1,989,400.0"
Asos,2021,LSE:ASC,GBP,thousands,2021-08-31,"3,910,500.0","-2,134,100.0","-873,900.0","190,100.0","128,400.0","807,100.0","1,559,700.0","2,884,500.0","998,000.0","1,034,000.0","2,884,500.0"
Asos,2022,LSE:ASC,GBP,thousands,2022-08-31,"3,936,500.0","-2,219,000.0","-982,200.0","-9,800.0","-30,800.0","1,078,400.0","1,554,000.0","2,996,900.0","1,040,000.0","1,014,900.0","2,996,900.0"
Asos,2023,LSE:ASC,GBP,thousands,2023-08-31,"3,549,500.0","-2,090,500.0","-1,084,800.0","-250,100.0","-223,100.0","768,000.0","1,234,500.0","2,625,600.0","715,200.0","866,700.0","2,625,600.0"
Asos,2024,LSE:ASC,GBP,thousands,2024-08-31,"2,905,800.0","-1,743,300.0","-979,800.0","-335,000.0","-338,700.0","520,300.0","1,146,400.0","2,271,200.0","714,000.0","521,300.0","2,271,200.0"
H&M,2015,OM:HMB,SEK,thousands,2014-11-30,"151,419,000.0","-62,367,000.0","-4,944,000.0","25,583,000.0","19,976,000.0","19,403,000.0","42,741,000.0","75,597,000.0","20,303,000.0","51,556,000.0","75,597,000.0"
H&M,2016,OM:HMB,SEK,thousands,2015-11-30,"180,861,000.0","-77,694,000.0","-5,933,000.0","26,942,000.0","20,898,000.0","24,833,000.0","45,536,000.0","85,813,000.0","22,937,000.0","58,049,000.0","85,813,000.0"
H&M,2017,OM:HMB,SEK,thousands,2016-11-30,"192,267,000.0","-86,090,000.0","-6,625,000.0","23,823,000.0","18,636,000.0","31,732,000.0","50,663,000.0","98,579,000.0","31,705,000.0","61,236,000.0","98,579,000.0"
H&M,2018,OM:HMB,SEK,thousands,2017-11-30,"200,004,000.0","-91,914,000.0","-7,094,000.0","20,569,000.0","16,184,000.0","33,712,000.0","55,746,000.0","106,562,000.0","40,723,000.0","59,713,000.0","106,562,000.0"
H&M,2019,OM:HMB,SEK,thousands,2018-11-30,"210,400,000.0","-99,513,000.0","-7,882,000.0","15,493,000.0","12,652,000.0","37,721,000.0","61,576,000.0","118,790,000.0","44,219,000.0","58,546,000.0","118,790,000.0"
H&M,2020,OM:HMB,SEK,thousands,2019-11-30,"232,755,000.0","-110,302,000.0","-8,828,000.0","17,346,000.0","13,443,000.0","37,823,000.0","62,272,000.0","120,485,000.0","47,836,000.0","57,069,000.0","120,485,000.0"
H&M,2021,OM:HMB,SEK,thousands,2020-11-30,"187,031,000.0","-93,487,000.0","-9,020,000.0","3,099,000.0","1,243,000.0","38,209,000.0","65,358,000.0","174,371,000.0","56,257,000.0","54,623,000.0","174,371,000.0"
H&M,2022,OM:HMB,SEK,thousands,2021-11-30,"198,967,000.0","-93,961,000.0","-9,216,000.0","15,255,000.0","11,010,000.0","37,306,000.0","78,986,000.0","179,781,000.0","60,997,000.0","60,018,000.0","179,781,000.0"
H&M,2023,OM:HMB,SEK,thousands,2022-11-30,"223,553,000.0","-110,183,000.0","-11,390,000.0","7,169,000.0","3,566,000.0","42,495,000.0","79,523,000.0","182,048,000.0","68,335,000.0","50,757,000.0","182,048,000.0"
H&M,2024,OM:HMB,SEK,thousands,2023-11-30,"236,035,000.0","-115,139,000.0","-10,895,000.0","14,537,000.0","8,723,000.0","37,358,000.0","80,529,000.0","181,273,000.0","67,927,000.0","47,601,000.0","181,273,000.0"
Inditex(Zara),2015,BME:ITX,EUR,thousands,2015-01-31,"18,116,534.0","-7,547,637.0","-6,457,569.0","3,228,747.0","2,510,151.0","1,859,516.0","7,105,953.0","15,377,000.0","3,748,828.0","10,468,701.0","15,377,000.0"
Inditex(Zara),2016,BME:ITX,EUR,thousands,2016-01-31,"20,900,439.0","-8,811,139.0","-7,391,832.0","3,731,932.0","2,882,201.0","2,195,015.0","8,449,235.0","17,357,148.0","4,670,151.0","11,450,793.0","17,357,148.0"
Inditex(Zara),2017,BME:ITX,EUR,thousands,2017-01-31,"23,311,000.0","-10,450,000.0","-7,758,000.0","4,065,000.0","3,161,000.0","2,549,000.0","9,898,000.0","19,621,000.0","5,451,000.0","12,751,000.0","19,621,000.0"
Inditex(Zara),2018,BME:ITX,EUR,thousands,2018-01-31,"25,336,000.0","-11,519,000.0","-8,501,000.0","4,336,000.0","3,373,000.0","2,685,000.0","10,147,000.0","20,231,000.0","5,173,000.0","13,522,000.0","20,231,000.0"
Inditex(Zara),2019,BME:ITX,EUR,thousands,2019-01-31,"26,145,000.0","-11,792,000.0","-8,866,000.0","4,414,000.0","3,448,000.0","2,716,000.0","10,620,000.0","21,684,000.0","5,383,000.0","14,682,000.0","21,684,000.0"
Inditex(Zara),2020,BME:ITX,EUR,thousands,2020-01-31,"28,286,000.0","-12,977,000.0","-7,678,000.0","4,806,000.0","3,647,000.0","2,269,000.0","11,414,000.0","28,391,000.0","7,306,000.0","14,949,000.0","28,391,000.0"
Inditex(Zara),2021,BME:ITX,EUR,thousands,2021-01-31,"20,402,000.0","-9,590,000.0","-6,230,000.0","1,523,000.0","1,104,000.0","2,321,000.0","10,957,000.0","26,418,000.0","6,338,000.0","14,550,000.0","26,418,000.0"
Inditex(Zara),2022,BME:ITX,EUR,thousands,2022-01-31,"27,716,000.0","-12,511,000.0","-7,987,000.0","4,308,000.0","3,250,000.0","3,042,000.0","13,602,000.0","28,945,000.0","8,030,000.0","15,759,000.0","28,945,000.0"
Inditex(Zara),2023,BME:ITX,EUR,thousands,2023-01-31,"32,569,000.0","-14,741,000.0","-9,137,000.0","5,417,000.0","4,147,000.0","3,191,000.0","14,639,000.0","29,983,000.0","8,137,000.0","17,033,000.0","29,983,000.0"
Inditex(Zara),2024,BME:ITX,EUR,thousands,2024-01-31,"35,947,000.0","-15,926,000.0","-10,113,000.0","6,761,000.0","5,395,000.0","2,966,000.0","16,016,000.0","32,735,000.0","8,937,000.0","18,672,000.0","32,735,000.0"
Louis Vuitton,2015,ENXTPA:MC,EUR,thousands,2014-12-31,"30,638,000.0","-10,801,000.0","-2,373,000.0","8,418,000.0","6,105,000.0","9,475.0","18,110.0","53,362.0","12,175.0","23,003.0","53,362.0"
Louis Vuitton,2016,ENXTPA:MC,EUR,thousands,2015-12-31,"35,664,000.0","-12,553,000.0","-2,663,000.0","6,044,000.0","4,001,000.0","10,096.0","18,950.0","57,601.0","12,699.0","25,799.0","57,601.0"
Louis Vuitton,2017,ENXTPA:MC,EUR,thousands,2016-12-31,"37,600,000.0","-13,039,000.0","-2,931,000.0","6,712,000.0","4,453,000.0","10,546.0","19,397.0","59,616.0","12,810.0","27,898.0","59,616.0"
Louis Vuitton,2018,ENXTPA:MC,EUR,thousands,2017-12-31,"42,636,000.0","-14,783,000.0","-3,162,000.0","8,176,000.0","5,840,000.0","10,888.0","21,061.0","69,755.0","14,989.0","30,377.0","69,755.0"
Louis Vuitton,2019,ENXTPA:MC,EUR,thousands,2018-12-31,"46,826,000.0","-15,625,000.0","-3,466,000.0","9,585,000.0","6,990,000.0","12,485.0","23,551.0","74,300.0","16,833.0","33,957.0","74,300.0"
Louis Vuitton,2020,ENXTPA:MC,EUR,thousands,2019-12-31,"53,670,000.0","-18,123,000.0","-3,864,000.0","11,102,000.0","7,782,000.0","13,717.0","26,510.0","96,507.0","22,623.0","38,365.0","96,507.0"
Louis Vuitton,2021,ENXTPA:MC,EUR,thousands,2020-12-31,"44,651,000.0","-15,871,000.0","-3,641,000.0","7,672,000.0","4,955,000.0","13,016.0","39,973.0","108,671.0","25,318.0","38,829.0","108,671.0"
Louis Vuitton,2022,ENXTPA:MC,EUR,thousands,2021-12-31,"64,215,000.0","-20,355,000.0","-4,414,000.0","17,400,000.0","12,698,000.0","16,549.0","34,301.0","125,311.0","27,989.0","48,909.0","125,311.0"
Louis Vuitton,2023,ENXTPA:MC,EUR,thousands,2022-12-31,"79,184,000.0","-24,988,000.0","-5,027,000.0","20,374,000.0","14,751,000.0","20,319.0","39,740.0","134,646.0","31,543.0","56,604.0","134,646.0"
Louis Vuitton,2024,ENXTPA:MC,EUR,thousands,2023-12-31,"86,153,000.0","-26,876,000.0","-5,714,000.0","22,381,000.0","15,952,000.0","22,952.0","43,710.0","143,694.0","33,145.0","62,701.0","143,694.0"
